Type,Service Request No,Created Date,Created Year,Created Month,Block Address,Description
Stray Animal,11-03389743,"Jul 17, 2011",2011,7,5600 W PATTERSON AVE, - 2 raccoons - Home - 5:45am
Stray Animal,11-03405351,"Jul 19, 2011",2011,7,4800 W WELLINGTON AVE,resident has seen 1 opposum and 2 raccoons in her back yard and throughout the area - Back yard
Stray Animal,11-03407132,"Jul 19, 2011",2011,7,3300 N OLCOTT AVE,"Raccoons,Snakes,Possums hiding inside high grass. - Back yard"
Stray Animal,11-03412247,"Jul 19, 2011",2011,7,5700 N GLENWOOD AVE," - six raccoons - Front yard - We saw them at 10:00 PM on July 19, going between a tree and the ground, looking for food, etc."
Stray Animal,11-03487575,"Jul 29, 2011",2011,7,5400 S UNIVERSITY AVE, - Baby Raccoon - Sidewalk
Stray Animal,11-03537006,"Aug 05, 2011",2011,8,800 W AINSLIE ST, - small raccoon - Back yard - varies - it's in out dumpster - seems caught
Stray Animal,11-03588986,"Aug 13, 2011",2011,8,9700 S PROSPECT AVE, - Raccoon - Back yard - Wild animal.  Typically seen at night.
Stray Animal,11-03638519,"Aug 22, 2011",2011,8,900 E 50TH ST, - RACCOONS - MEDIUM AND LARGE IN SIZE - Sidewalk - DAY AND NIGHT - THEY ARE CHASING PEOPLE AND DOGS DOWN THE STREET.   THEY ARE UP IN THE TREES AND COME DOWN AND START FOLLOWING PEOPLE DOWN THE STREET.  THEY ARE ALSO IN THE ALLEYS.
Stray Animal,11-03640321,"Aug 22, 2011",2011,8,800 E 50TH AND  DREXEL ST, - RACCOONS - LARGE AND MEDIUM SIZE -  THERE IS A LOT OF THEM - Sidewalk - DAY AND NIGHT - THEY COME DOWN OUT OF THE TREES AND START SCARING PEOPLE AND THE DOGS.
Stray Animal,11-03640536,"Aug 22, 2011",2011,8,1000 E 44TH ST,"Large raccoon - Front yard - All hours, mostly night"
Stray Animal,11-03641896,"Aug 22, 2011",2011,8,500 W 103RD PL,3 raccoons - Home - night and day living in roof comes out at night very big home owner single senior.
Stray Animal,11-03702680,"Aug 31, 2011",2011,8,400 E WATERSIDE DR, - Several large raccoons - Other - Multiple residents have seen the raccoons in our garage at ALL times throughout the day.
Stray Animal,11-03718519,"Sep 03, 2011",2011,9,4300 W CERMAK RD,"SMALL, WHITE, CHIWAWA - Other - NOW - ON BACK PORCH - PLEASE COME ASAP, MANY RACCOONS IN AREA, CALLER CONCERNED FOR DOG"
Stray Animal,11-03761979,"Sep 10, 2011",2011,9,600 W 95TH ST, - Brown & WhiteRaccoon - Back yard - Evening
Stray Animal,11-03805670,"Sep 19, 2011",2011,9,11100 S HOMEWOOD AVE," - long skinny not hairy  and very different  i know it was not a cat or dog or raccoon , rat or farm animal - Street - I'VE SEEN IT AT NIGHT,my mother called me couple weeks ago when she waiting at metra for daugther she to  could believe what she saw she told my daughter to run for she get left"
